x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
-2.120000,-1.680000,0.321403,0.080000,-0.017149,-0.010477,0.006845,-0.036412,-0.000000,0.000000,-0.000000
-2.040000,-1.680000,0.320156,0.080000,-0.017302,-0.014505,0.011290,-0.024607,-0.000000,0.000000,-0.000000
-1.960000,-1.680000,0.320156,0.080000,-0.017384,-0.014672,0.011650,-0.016258,-0.000000,0.000000,-0.000000
-1.880000,-1.680000,0.321403,0.080000,-0.017392,-0.013398,0.010668,-0.010495,-0.000000,0.000000,-0.000000
-1.800000,-1.680000,0.323883,0.080000,-0.017332,-0.011677,0.009087,-0.006684,-0.000000,0.000000,-0.000000
-1.720000,-1.680000,0.321403,0.080000,-0.017215,-0.009973,0.007475,-0.004146,-0.000000,0.000000,-0.000000
-1.640000,-1.680000,0.320156,0.080000,-0.017049,-0.008444,0.006005,-0.002452,-0.000000,0.000000,-0.000000
-1.560000,-1.680000,0.320156,0.080000,-0.016845,-0.007129,0.004727,-0.001321,-0.000000,0.000000,-0.000000
-1.480000,-1.680000,0.321403,0.080000,-0.016611,-0.006022,0.003639,-0.000564,-0.000000,0.000000,-0.000000
-1.400000,-1.680000,0.323883,0.080000,-0.016353,-0.005096,0.002721,-0.000061,-0.000000,0.000000,-0.000000
-1.320000,-1.680000,0.321403,0.080000,-0.016078,-0.004326,0.001951,0.000270,-0.000000,0.000000,0.000000
-1.240000,-1.680000,0.320156,0.080000,-0.015791,-0.003684,0.001304,0.000481,-0.000000,0.000000,0.000000
-1.160000,-1.680000,0.320156,0.080000,-0.015494,-0.003149,0.000759,0.000608,-0.000000,0.000000,0.000000
-1.080000,-1.680000,0.321403,0.080000,-0.015193,-0.002701,0.000301,0.000678,-0.000000,0.000000,0.000000
-1.000000,-1.680000,0.323883,0.080000,-0.014890,-0.002326,-0.000086,0.000705,-0.000000,0.000000,0.000000
-0.920000,-1.680000,0.321403,0.080000,-0.014588,-0.002012,-0.000414,0.000704,-0.000000,0.000000,0.000000
-0.840000,-1.680000,0.320156,0.080000,-0.014288,-0.001748,-0.000691,0.000681,-0.000000,0.000000,0.000000
-0.760000,-1.680000,0.320156,0.080000,-0.013993,-0.001526,-0.000925,0.000642,-0.000000,-0.000000,0.000000
-0.680000,-1.680000,0.321403,0.080000,-0.013703,-0.001341,-0.001122,0.000593,-0.000000,-0.000000,0.000000
-0.600000,-1.680000,0.323883,0.080000,-0.013421,-0.001186,-0.001288,0.000536,-0.000000,-0.000000,0.000000
-0.520000,-1.680000,0.321403,0.080000,-0.013146,-0.001059,-0.001425,0.000473,-0.000000,-0.000000,0.000000
-0.440000,-1.680000,0.320156,0.080000,-0.012881,-0.000954,-0.001538,0.000405,-0.000000,-0.000000,0.000000
-0.360000,-1.680000,0.320156,0.080000,-0.012626,-0.000871,-0.001629,0.000335,-0.000000,-0.000000,0.000000
-0.280000,-1.680000,0.321403,0.080000,-0.012381,-0.000807,-0.001699,0.000262,-0.000000,-0.000000,0.000000
-0.200000,-1.680000,0.323883,0.080000,-0.012147,-0.000760,-0.001751,0.000188,-0.000000,-0.000000,0.000000
-0.120000,-1.680000,0.321403,0.080000,-0.011924,-0.000729,-0.001785,0.000113,0.000000,-0.000000,0.000000
-0.040000,-1.680000,0.320156,0.080000,-0.011713,-0.000713,-0.001801,0.000038,0.000000,-0.000000,0.000000
0.040000,-1.680000,0.320156,0.080000,-0.011513,-0.000713,-0.001801,-0.000038,0.000000,-0.000000,-0.000000
0.120000,-1.680000,0.321403,0.080000,-0.011324,-0.000729,-0.001785,-0.000113,0.000000,-0.000000,-0.000000
0.200000,-1.680000,0.323883,0.080000,-0.011147,-0.000759,-0.001751,-0.000188,-0.000000,-0.000000,-0.000000
0.280000,-1.680000,0.321403,0.080000,-0.010981,-0.000806,-0.001699,-0.000262,-0.000000,-0.000000,-0.000000
0.360000,-1.680000,0.320156,0.080000,-0.010826,-0.000871,-0.001629,-0.000335,-0.000000,-0.000000,-0.000000
0.440000,-1.680000,0.320156,0.080000,-0.010682,-0.000954,-0.001538,-0.000405,-0.000000,-0.000000,-0.000000
0.520000,-1.680000,0.321403,0.080000,-0.010547,-0.001058,-0.001426,-0.000472,-0.000000,-0.000000,-0.000000
0.600000,-1.680000,0.323883,0.080000,-0.010421,-0.001186,-0.001288,-0.000535,-0.000000,-0.000000,-0.000000
0.680000,-1.680000,0.321403,0.080000,-0.010304,-0.001340,-0.001123,-0.000593,-0.000000,-0.000000,-0.000000
0.760000,-1.680000,0.320156,0.080000,-0.010193,-0.001526,-0.000925,-0.000642,-0.000000,-0.000000,-0.000000
0.840000,-1.680000,0.320156,0.080000,-0.010089,-0.001747,-0.000692,-0.000680,-0.000000,0.000000,-0.000000
0.920000,-1.680000,0.321403,0.080000,-0.009989,-0.002011,-0.000415,-0.000703,-0.000000,0.000000,-0.000000
