xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
2.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.000636,0.001299,0.001000,0.000000
2.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.001321,0.003528,0.001000,0.000000
2.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.002388,0.007163,0.001000,0.000000
2.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.004371,0.014227,0.001000,0.000000
2.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.010070,0.035428,0.001000,0.000000
2.500000,-1.950000,0.100000,1.000000,0.000000,0.001000,0.000000,0.010097,0.035737,0.001000,0.005000
2.500000,-1.850000,0.100000,1.000000,0.000000,0.001000,0.000000,0.004412,0.015008,0.001000,0.005000
2.500000,-1.750000,0.100000,1.000000,0.000000,0.001000,0.000000,0.002433,0.008342,0.001000,0.005000
2.500000,-1.650000,0.100000,1.000000,0.000000,0.001000,0.000000,0.001367,0.005078,0.001000,0.005000
2.500000,-1.550000,0.100000,1.000000,0.000000,0.001000,0.000000,0.000683,0.003204,0.001000,0.005000
2.500000,-1.450000,0.100000,1.000000,0.000000,0.001000,0.000000,0.000203,0.002057,0.001000,0.005000
2.500000,-1.350000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000151,0.001342,0.001000,0.005000
2.500000,-1.250000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000422,0.000904,0.001000,0.005000
2.500000,-1.150000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000635,0.000652,0.001000,0.005000
2.500000,-1.050000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000805,0.000531,0.001000,0.005000
2.500000,-0.950000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000941,0.000501,0.001000,0.005000
2.500000,-0.850000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001052,0.000538,0.001000,0.005000
2.500000,-0.750000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001143,0.000624,0.001000,0.005000
2.500000,-0.650000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001216,0.000744,0.001000,0.005000
2.500000,-0.550000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001275,0.000890,0.001000,0.005000
2.500000,-0.450000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001321,0.001055,0.001000,0.005000
2.500000,-0.350000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001357,0.001232,0.001000,0.005000
2.500000,-0.250000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001383,0.001418,0.001000,0.005000
