x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
1.480000,-1.680000,0.320261,0.080000,-1443402.941210,-330168113.938462,327353875.370098,293230247.555875,-0.006205,0.006183,0.005525
1.560000,-1.680000,0.320015,0.080000,-50016.557858,177534972.142158,-176143973.712570,272494857.854885,0.003337,-0.003327,0.005134
1.640000,-1.680000,0.320070,0.080000,536585.766756,198909012.291661,-197312923.673826,-109838224.214136,0.003739,-0.003727,-0.002069
1.720000,-1.680000,0.320281,0.080000,55062.510226,-77612168.428597,77214032.231554,-119835720.917286,-0.001460,0.001457,-0.002258
1.800000,-1.680000,0.320020,0.080000,-133599.206940,-59611284.057686,58999024.094362,56413277.018535,-0.001120,0.001115,0.001063
1.880000,-1.680000,0.320061,0.080000,11055.907862,35952239.165045,-35831834.964107,17347077.740144,0.000677,-0.000676,0.000327
1.960000,-1.680000,0.320301,0.080000,16880.899152,-383813.168108,710424.813013,-15984122.237312,-0.000009,0.000012,-0.000301
2.040000,-1.680000,0.320026,0.080000,-1391.718038,-4211996.585312,3795435.085280,3441299.085545,-0.000077,0.000074,0.000065
2.120000,-1.680000,0.320052,0.080000,2880.261203,1439284.271087,-1205541.139283,-77582.792147,0.000026,-0.000024,-0.000001
-2.120000,-1.600000,0.380012,0.080000,8845.000738,-64508.800154,100082.505220,-513774.404370,-0.000001,0.000002,-0.000010
-2.040000,-1.600000,0.400021,0.080000,8844.637672,-642916.368008,706113.298236,-204394.464301,-0.000012,0.000013,-0.000004
-1.960000,-1.600000,0.400241,0.080000,12313.366581,-87691.174452,59171.245441,2354424.283110,-0.000001,0.000001,0.000044
-1.880000,-1.600000,0.400048,0.080000,11169.954344,7160939.539785,-7388629.212987,-1612528.708059,0.000136,-0.000138,-0.000030
-1.800000,-1.600000,0.400016,0.080000,-21830.992549,-5395713.479034,5520289.570816,-14471209.123051,-0.000102,0.000103,-0.000273
-1.720000,-1.600000,0.400225,0.080000,-10207.934425,-30939561.580877,31672119.922077,11207839.921952,-0.000587,0.000593,0.000211
-1.640000,-1.600000,0.400056,0.080000,148275.040955,14564358.491577,-14517530.394646,52285459.301475,0.000274,-0.000274,0.000985
-1.560000,-1.600000,0.400012,0.080000,190738.035526,91827144.629188,-93387760.046789,-8213625.585285,0.001739,-0.001751,-0.000155
-1.480000,-1.600000,0.400209,0.080000,-250828.732340,26265739.884741,-27523089.791178,-127674735.591856,0.000502,-0.000511,-0.002405
-1.400000,-1.600000,0.400065,0.080000,-773095.692449,-162631615.879686,164197154.697031,-90406976.008258,-0.003073,0.003085,-0.001703
-1.320000,-1.600000,0.400009,0.080000,-365264.731501,-203229570.793726,206532062.162421,141442283.515597,-0.003848,0.003873,0.002665
-1.240000,-1.600000,0.400194,0.080000,1132935.598427,46461376.926840,-45366522.341779,299228223.739819,0.000869,-0.000861,0.005638
-1.160000,-1.600000,0.400073,0.080000,2295684.657774,356801481.495965,-359797493.728733,134114376.894266,0.006739,-0.006762,0.002527
-1.080000,-1.600000,0.400006,0.080000,1398672.087753,369277314.045856,-373818560.707150,-255033769.721529,0.006983,-0.007017,-0.004805
-1.000000,-1.600000,0.400179,0.080000,-1581799.232163,-793988.916883,-1054947.736283,-502090635.386165,-0.000005,-0.000009,-0.009460
-0.920000,-1.600000,0.400083,0.080000,-4497030.755536,-463603176.804132,466220384.157003,-339930088.395921,-0.008749,0.008769,-0.006404
-0.840000,-1.600000,0.400004,0.080000,-4679511.991483,-622416716.049682,627474027.323174,146437516.177905,-0.011755,0.011793,0.002759
-0.760000,-1.600000,0.400165,0.080000,-1227295.345954,-316327948.260944,320039102.660118,595913295.840855,-0.005981,0.006009,0.011227
-0.680000,-1.600000,0.400093,0.080000,4054156.301891,258730464.739445,-258887799.297495,666011798.531943,0.004876,-0.004877,0.012548
-0.600000,-1.600000,0.400002,0.080000,7783228.670477,710103009.875874,-713821246.277610,286143687.486353,0.013400,-0.013428,0.005391
-0.520000,-1.600000,0.400152,0.080000,7300543.011345,731564731.022305,-736308332.497562,-306128187.284412,0.013810,-0.013846,-0.005768
-0.440000,-1.600000,0.400104,0.080000,2480051.449104,300554788.320627,-303435150.463298,-737931257.845267,0.005679,-0.005701,-0.013903
-0.360000,-1.600000,0.400001,0.080000,-4123656.528389,-323277545.903493,323758394.070545,-743177827.463253,-0.006093,0.006097,-0.014002
-0.280000,-1.600000,0.400139,0.080000,-8803575.958828,-770365333.717934,773650803.621755,-318106881.445942,-0.014533,0.014557,-0.005993
-0.200000,-1.600000,0.400115,0.080000,-8894158.868833,-783403494.660143,787436731.839778,289423385.512688,-0.014783,0.014813,0.005453
-0.120000,-1.600000,0.400000,0.080000,-4309166.674319,-359536595.679525,362032201.196113,732958874.082820,-0.006788,0.006807,0.013809
-0.040000,-1.600000,0.400126,0.080000,2432091.145983,257690117.631734,-257998840.728379,766148100.364391,0.004857,-0.004859,0.014435
0.040000,-1.600000,0.400126,0.080000,7650824.676760,721293703.369312,-724041704.851517,377046868.854223,0.013605,-0.013626,0.007104
0.120000,-1.600000,0.400000,0.080000,8577415.802077,775607979.228086,-779070363.182923,-210122981.824396,0.014632,-0.014659,-0.003959
0.200000,-1.600000,0.400115,0.080000,4878502.447207,397696135.927172,-399777077.179232,-662651418.081989,0.007505,-0.007520,-0.012485
0.280000,-1.600000,0.400139,0.080000,-1204071.331137,-190025347.629849,190588231.200173,-726896742.271837,-0.003583,0.003588,-0.013695
0.360000,-1.600000,0.400001,0.080000,-6177342.439104,-644959471.986189,647809597.692066,-374182999.341231,-0.012168,0.012189,-0.007050
0.440000,-1.600000,0.400104,0.080000,-7334835.600222,-702789956.662684,706072991.265583,178442187.626554,-0.013260,0.013284,0.003362
0.520000,-1.600000,0.400152,0.080000,-4323858.968677,-338989258.004752,340439254.793535,592622607.399384,-0.006395,0.006406,0.011165
0.600000,-1.600000,0.400002,0.080000,713804.455299,207427511.110626,-208963102.166016,615755784.847215,0.003917,-0.003928,0.011601
0.680000,-1.600000,0.400093,0.080000,4558406.390152,578246573.350896,-581813207.349290,248460751.012959,0.010915,-0.010942,0.004681
0.760000,-1.600000,0.400165,0.080000,5021485.984199,534048016.680990,-537009406.768763,-244774700.590665,0.010079,-0.010101,-0.004612
0.840000,-1.600000,0.400004,0.080000,2344064.824374,130795480.322758,-130730933.654289,-512489810.690564,0.002464,-0.002463,-0.009656
0.920000,-1.600000,0.400083,0.080000,-1138154.131384,-308976712.750567,312133069.160694,-377144078.880032,-0.005839,0.005863,-0.007106
1.000000,-1.600000,0.400179,0.080000,-2871025.431437,-443246165.379264,446782858.552560,16987366.985718,-0.008371,0.008398,0.000320
1.080000,-1.600000,0.400006,0.080000,-2052308.583382,-200340483.216499,201031560.087103,317874532.890218,-0.003778,0.003784,0.005989
1.160000,-1.600000,0.400073,0.080000,-38904.955295,152750525.797293,-155373465.584357,281726017.487345,0.002893,-0.002913,0.005308
1.240000,-1.600000,0.400194,0.080000,1166978.090522,271984644.390621,-274922305.578564,6478234.702219,0.005141,-0.005163,0.000122
1.320000,-1.600000,0.400009,0.080000,852044.739729,95392055.674701,-95542952.253133,-184499679.360740,0.001798,-0.001799,-0.003476
1.400000,-1.600000,0.400065,0.080000,-48113.882654,-110535866.153047,112643053.136354,-117916202.900719,-0.002094,0.002110,-0.002222
1.480000,-1.600000,0.400209,0.080000,-391984.887457,-108289332.525767,109577144.006064,45032354.454119,-0.002048,0.002057,0.000848
1.560000,-1.600000,0.400012,0.080000,-133022.335352,15904453.367954,-16590905.367924,75053227.796767,0.000304,-0.000309,0.001414
1.640000,-1.600000,0.400056,0.080000,88866.976912,50393415.085171,-51323077.814284,-1598510.577912,0.000955,-0.000962,-0.000030
1.720000,-1.600000,0.400225,0.080000,50153.154755,-435699.623717,515542.825497,-26808299.467969,-0.000009,0.000009,-0.000505
1.800000,-1.600000,0.400016,0.080000,-13079.032258,-14397393.751240,14779554.149461,630160.254196,-0.000273,0.000276,0.000012
1.880000,-1.600000,0.400048,0.080000,-5400.699384,1578239.747363,-1578154.735275,5519776.873070,0.000030,-0.000030,0.000104
1.960000,-1.600000,0.400241,0.080000,3943.422317,1895869.179998,-1947354.530750,-922425.330039,0.000036,-0.000036,-0.000017
2.040000,-1.600000,0.400021,0.080000,2625.585695,-602813.573940,588911.504867,-300537.923385,-0.000011,0.000011,-0.000006
2.120000,-1.600000,0.380012,0.080000,2988.204296,-57071.770177,51522.037430,-385077.707589,-0.000001,0.000001,-0.000007
-2.120000,-1.520000,0.380207,0.080000,8932.283955,1945744.064804,-2059549.764107,252689.107386,0.000037,-0.000038,0.000005
-2.040000,-1.520000,0.460171,0.080000,9583.864433,-14115.619844,32766.751352,391568.690499,-0.000000,0.000001,0.000007
-1.960000,-1.520000,0.480201,0.080000,9321.282652,365527.931544,-386642.735819,157636.278299,0.000007,-0.000007,0.000003
-1.880000,-1.520000,0.480040,0.080000,6868.445999,443513.161350,-587606.414269,-1311515.983487,0.000009,-0.000010,-0.000025
-1.800000,-1.520000,0.480013,0.080000,3689.822787,-3159819.194039,3262003.681731,-1326530.159262,-0.000060,0.000061,-0.000025
-1.720000,-1.520000,0.480187,0.080000,18745.009664,-3689812.425435,4195469.414286,6404527.186119,-0.000072,0.000076,0.000121
-1.640000,-1.520000,0.480047,0.080000,48594.970856,10559361.474330,-10597137.565730,9500591.124079,0.000199,-0.000199,0.000179
-1.560000,-1.520000,0.480010,0.080000,14164.413695,20726052.451757,-21909879.801274,-13069665.317694,0.000397,-0.000406,-0.000246
-1.480000,-1.520000,0.480174,0.080000,-128296.297832,-8504316.254020,7692156.977612,-38298516.803189,-0.000156,0.000150,-0.000722
-1.400000,-1.520000,0.480054,0.080000,-205898.601928,-57226840.857315,58562337.755077,-11193688.591950,-0.001086,0.001096,-0.000211
-1.320000,-1.520000,0.480007,0.080000,45136.417393,-49905415.364721,52373999.991512,64626025.297524,-0.000954,0.000973,0.001218
-1.240000,-1.520000,0.480162,0.080000,562163.258434,42046669.720650,-41435540.235144,100747372.394689,0.000789,-0.000784,0.001898
-1.160000,-1.520000,0.480061,0.080000,811800.750533,137474733.599365,-139962431.281517,23913836.856892,0.002604,-0.002623,0.000451
-1.080000,-1.520000,0.480005,0.080000,258605.851170,120576465.609267,-124034553.429570,-121981554.341025,0.002291,-0.002317,-0.002298
-1.000000,-1.520000,0.480149,0.080000,-978343.689324,-30161375.010467,28999084.077279,-202322469.333705,-0.000562,0.000553,-0.003812
-0.920000,-1.520000,0.480069,0.080000,-2010874.045143,-204813873.473123,207144990.620770,-120035981.617306,-0.003872,0.003890,-0.002262
-0.840000,-1.520000,0.480003,0.080000,-1822804.884110,-253397241.392830,257419995.075350,87703532.944133,-0.004797,0.004827,0.001652
-0.760000,-1.520000,0.480138,0.080000,-142784.310403,-114373697.299460,117021741.775555,273082931.089713,-0.002170,0.002190,0.005145
-0.680000,-1.520000,0.480077,0.080000,2197556.225584,132268432.213104,-132867938.010549,292859511.624534,0.002495,-0.002500,0.005518
-0.600000,-1.520000,0.480001,0.080000,3735036.484672,322870036.835951,-326202429.054981,116201470.437596,0.006102,-0.006127,0.002189
-0.520000,-1.520000,0.480126,0.080000,3341576.686247,325750713.492500,-329541072.951369,-153538167.490538,0.006159,-0.006187,-0.002893
-0.440000,-1.520000,0.480086,0.080000,1005318.620667,128981845.539064,-130849343.465522,-349558796.004220,0.002441,-0.002455,-0.006586
-0.360000,-1.520000,0.480001,0.080000,-2096713.314735,-154289603.499957,155372120.921290,-349377881.589301,-0.002913,0.002921,-0.006582
-0.280000,-1.520000,0.480116,0.080000,-4271009.326737,-358321913.657224,361569963.071762,-148969149.135076,-0.006769,0.006794,-0.002807
-0.200000,-1.520000,0.480096,0.080000,-4296581.837927,-364739229.737439,368175214.564084,137967688.309332,-0.006891,0.006917,0.002599
-0.120000,-1.520000,0.480000,0.080000,-2133957.636342,-169973306.693219,171624833.258501,349080928.471862,-0.003212,0.003224,0.006577
-0.040000,-1.520000,0.480105,0.080000,1051337.494167,115528803.077684,-116543559.881019,367087119.592817,0.002182,-0.002190,0.006916
0.040000,-1.520000,0.480105,0.080000,3548557.484218,332020102.449696,-335056854.225542,184878747.613984,0.006273,-0.006296,0.003483
0.120000,-1.520000,0.480000,0.080000,4058292.357203,360940963.542479,-364219506.461361,-92454641.597459,0.006819,-0.006844,-0.001742
0.200000,-1.520000,0.480096,0.080000,2403335.194408,190998068.816424,-192598189.859328,-308163094.614847,0.003608,-0.003620,-0.005806
0.280000,-1.520000,0.480116,0.080000,-402700.047357,-76337687.631703,77381826.595211,-343047243.324626,-0.001444,0.001452,-0.006463
0.360000,-1.520000,0.480001,0.080000,-2761863.215515,-285510274.150147,288599210.270565,-183773907.835255,-0.005397,0.005420,-0.003462
0.440000,-1.520000,0.480086,0.080000,-3421440.700436,-317923696.056049,321156382.159696,69242213.431910,-0.006008,0.006033,0.001305
0.520000,-1.520000,0.480126,0.080000,-2181827.075180,-163267746.710497,164542505.618809,261648869.954614,-0.003083,0.003093,0.004930
0.600000,-1.520000,0.480001,0.080000,42010.312054,73468365.757390,-75070855.122060,280293975.663150,0.001393,-0.001405,0.005281
0.680000,-1.520000,0.480077,0.080000,1844599.014285,238519062.723485,-241955587.383556,125939454.046201,0.004513,-0.004539,0.002373
0.760000,-1.520000,0.480138,0.080000,2241596.793868,231524817.124600,-234323526.715176,-86789223.286644,0.004378,-0.004399,-0.001635
0.840000,-1.520000,0.480003,0.080000,1263323.143621,75200769.448343,-75220143.867638,-209240286.146596,0.001417,-0.001417,-0.003942
0.920000,-1.520000,0.480069,0.080000,-177951.905814,-102498598.244547,105251482.347070,-167393676.841974,-0.001947,0.001967,-0.003154
1.000000,-1.520000,0.480149,0.080000,-1037376.062145,-168843880.030048,171978398.437091,-16840872.681637,-0.003199,0.003222,-0.000317
1.080000,-1.520000,0.480005,0.080000,-913282.225232,-93678703.136699,94426019.299436,107451004.106917,-0.001769,0.001775,0.002024
1.160000,-1.520000,0.480061,0.080000,-226770.365984,31560998.266338,-33635406.426798,111469907.464047,0.000606,-0.000622,0.002100
1.240000,-1.520000,0.480162,0.080000,300735.735652,87976988.534638,-90442903.376043,23182363.330200,0.001671,-0.001690,0.000437
1.320000,-1.520000,0.480007,0.080000,329968.582413,46507165.550643,-46795389.119526,-50302725.182827,0.000878,-0.000880,-0.000948
1.400000,-1.520000,0.480054,0.080000,79459.776274,-18567531.147863,20167333.697865,-45186371.907460,-0.000359,0.000371,-0.000851
1.480000,-1.520000,0.480174,0.080000,-83345.412350,-32889244.174930,33974758.301345,615828.235505,-0.000626,0.000634,0.000012
1.560000,-1.520000,0.480010,0.080000,-62574.420076,-5980402.582651,5530260.543278,19791013.414291,-0.000110,0.000107,0.000373
1.640000,-1.520000,0.480047,0.080000,2131.771875,10203433.695443,-10905434.241926,6002352.996354,0.000196,-0.000201,0.000113
1.720000,-1.520000,0.480187,0.080000,15403.740924,3956177.792106,-3923564.126350,-4738928.076669,0.000074,-0.000074,-0.000089
1.800000,-1.520000,0.480013,0.080000,3480.662524,-1991567.150539,2245921.772048,-1989635.874527,-0.000039,0.000041,-0.000037
1.880000,-1.520000,0.480040,0.080000,46.161541,-794854.651434,803624.673632,753254.011254,-0.000015,0.000015,0.000014
1.960000,-1.520000,0.480201,0.080000,1733.461629,330630.216369,-373505.451122,223589.831414,0.000006,-0.000007,0.000004
2.040000,-1.520000,0.460171,0.080000,2040.507500,213071.550876,-195314.253226,163370.471705,0.000004,-0.000004,0.000003
2.120000,-1.520000,0.380207,0.080000,1649.975453,-1627802.429990,1748551.323133,1371065.741117,-0.000031,0.000032,0.000026
-2.120000,-1.440000,0.380079,0.080000,17298.370130,-3609576.271643,3707650.224424,5397830.355499,-0.000069,0.000069,0.000102
-2.040000,-1.440000,0.460065,0.080000,9147.129804,-1116404.680181,1066259.922910,-119545.134535,-0.000021,0.000020,-0.000002
-1.960000,-1.440000,0.540056,0.080000,8384.751454,-42694.593988,-16100.925121,-298833.954733,-0.000000,0.000000,-0.000006
-1.880000,-1.440000,0.560035,0.080000,8166.478753,-158824.014188,148191.387638,-264036.564180,-0.000003,0.000003,-0.000005
-1.800000,-1.440000,0.560012,0.080000,9186.565359,-629983.354573,763751.278943,453989.339556,-0.000013,0.000014,0.000009
-1.720000,-1.440000,0.560161,0.080000,13858.009281,445481.001519,-333697.062242,1836685.703657,0.000008,-0.000007,0.000035
-1.640000,-1.440000,0.560040,0.080000,14573.164577,3657186.624378,-3948169.058970,179999.700971,0.000071,-0.000073,0.000003
-1.560000,-1.440000,0.560009,0.080000,-7043.887399,2925304.465349,-3502491.934582,-6436252.232778,0.000058,-0.000063,-0.000121
-1.480000,-1.440000,0.560149,0.080000,-43372.899878,-7530880.766054,7576169.364377,-9052234.615302,-0.000142,0.000142,-0.000171
-1.400000,-1.440000,0.560046,0.080000,-30823.435958,-17951587.310370,19180812.585594,4255000.824048,-0.000345,0.000354,0.000080
-1.320000,-1.440000,0.560006,0.080000,89041.759528,-8080518.602384,9441051.161402,26481897.218726,-0.000160,0.000170,0.000499
-1.240000,-1.440000,0.560138,0.080000,251448.699087,24609131.692080,-24995353.084846,29680613.590349,0.000466,-0.000469,0.000559
-1.160000,-1.440000,0.560052,0.080000,258254.802369,50799022.020668,-53342656.933261,-4520519.421257,0.000971,-0.000991,-0.000085
-1.080000,-1.440000,0.560004,0.080000,-44206.397185,34527308.660151,-37225931.760334,-56076741.099212,0.000666,-0.000686,-0.001057
-1.000000,-1.440000,0.560128,0.080000,-550628.591469,-26445205.185877,26289650.751000,-77175503.892957,-0.000497,0.000496,-0.001454
-0.920000,-1.440000,0.560059,0.080000,-886600.809914,-89593078.669133,92760565.405617,-35802804.677441,-0.001706,0.001730,-0.000675
-0.840000,-1.440000,0.560003,0.080000,-668569.161830,-99818687.555620,104267732.606662,50381299.337481,-0.001906,0.001939,0.000949
-0.760000,-1.440000,0.560118,0.080000,160959.635111,-36087752.774792,38513948.878174,122388734.042925,-0.000694,0.000712,0.002306
-0.680000,-1.440000,0.560066,0.080000,1206382.650846,67916341.435571,-69524964.462411,123502889.996768,0.001289,-0.001301,0.002327
-0.600000,-1.440000,0.560001,0.080000,1826603.678555,145242975.097674,-150115123.974387,42399569.579295,0.002764,-0.002801,0.000799
-0.520000,-1.440000,0.560108,0.080000,1546658.306545,141641218.894853,-146773019.309376,-76556220.021765,0.002698,-0.002736,-0.001442
-0.440000,-1.440000,0.560074,0.080000,391464.396982,52495109.988762,-54665487.479315,-161528114.057982,0.001001,-0.001018,-0.003043
-0.360000,-1.440000,0.560000,0.080000,-1085992.949540,-73414909.807714,75607444.014822,-158992653.511927,-0.001396,0.001412,-0.002996
-0.280000,-1.440000,0.560099,0.080000,-2106035.630857,-163808289.607874,169141045.853961,-66935169.052696,-0.003116,0.003157,-0.001261
-0.200000,-1.440000,0.560082,0.080000,-2109226.385429,-166262926.731485,171682823.879340,64108944.908444,-0.003163,0.003204,0.001208
-0.120000,-1.440000,0.560000,0.080000,-1080862.381875,-78663975.647387,81099415.257647,161033569.009376,-0.001496,0.001514,0.003034
-0.040000,-1.440000,0.560090,0.080000,435771.768357,50191041.582375,-52081456.867700,170360857.906802,0.000956,-0.000971,0.003210
0.040000,-1.440000,0.560090,0.080000,1641577.363600,148954699.331309,-154057701.525044,88257418.826066,0.002835,-0.002874,0.001663
0.120000,-1.440000,0.560000,0.080000,1923733.462607,164245597.858201,-169654428.025729,-38063897.156972,0.003125,-0.003166,-0.000717
0.200000,-1.440000,0.560082,0.080000,1186599.723759,90424573.711631,-93099155.688061,-137723394.479066,0.001719,-0.001739,-0.002595
0.280000,-1.440000,0.560099,0.080000,-113172.019810,-27956511.838096,29450217.676731,-156681496.076470,-0.000535,0.000546,-0.002952
0.360000,-1.440000,0.560000,0.080000,-1242425.959829,-122447731.343005,127101029.200560,-88417889.009562,-0.002333,0.002368,-0.001666
0.440000,-1.440000,0.560074,0.080000,-1615167.927721,-140909100.543877,145857019.223142,23048577.347148,-0.002683,0.002720,0.000434
0.520000,-1.440000,0.560108,0.080000,-1115172.226279,-78176223.213539,80434518.216757,110223087.574221,-0.001486,0.001503,0.002077
0.600000,-1.440000,0.560001,0.080000,-128146.677528,21807098.725573,-23457685.292936,123764505.388449,0.000420,-0.000433,0.002332
0.680000,-1.440000,0.560066,0.080000,729179.805125,94871032.564195,-99073634.274017,62973233.890741,0.001811,-0.001843,0.001186
0.760000,-1.440000,0.560118,0.080000,1004428.526007,98933749.123133,-102677639.429428,-25425490.108874,0.001885,-0.001913,-0.000479
0.840000,-1.440000,0.560003,0.080000,668870.298005,41306695.063339,-42087914.825115,-80889545.895013,0.000783,-0.000789,-0.001524
0.920000,-1.440000,0.560059,0.080000,73451.245859,-29393808.556282,31710174.986390,-72309364.471858,-0.000567,0.000584,-0.001362
1.000000,-1.440000,0.560128,0.080000,-348164.852249,-62027435.182961,65194214.051264,-18429234.911148,-0.001187,0.001210,-0.000347
1.080000,-1.440000,0.560004,0.080000,-392268.765923,-42273668.521611,43668589.732141,31609624.060279,-0.000804,0.000815,0.000596
1.160000,-1.440000,0.560052,0.080000,-174159.224846,732554.624665,-1795694.203061,41640278.012866,0.000020,-0.000028,0.000785
1.240000,-1.440000,0.560138,0.080000,46402.593345,26092990.516047,-27998474.951339,16673236.739898,0.000502,-0.000517,0.000314
