xm,ym,length,xnormal,ynormal,T,dT_dn
-0.020004,1.249901,0.040008,-0.004940,0.999988,300.000000,-162.233474
-0.060019,1.249506,0.040028,-0.014824,0.999890,300.000000,-162.123145
-0.100046,1.248714,0.040042,-0.024721,0.999694,300.000000,-161.901705
-0.140074,1.247526,0.040049,-0.034634,0.999400,300.000000,-161.568841
-0.180091,1.245940,0.040049,-0.044567,0.999006,300.000000,-161.124007
-0.220086,1.243956,0.040042,-0.054525,0.998512,300.000000,-160.566585
-0.260050,1.241573,0.040028,-0.064511,0.997917,300.000000,-159.895918
-0.299971,1.238791,0.040008,-0.074529,0.997219,300.000000,-159.111355
-0.339839,1.235609,0.039982,-0.084584,0.996416,300.000000,-158.212297
-0.379644,1.232027,0.039950,-0.094679,0.995508,300.000000,-157.198251
-0.419375,1.228044,0.039913,-0.104820,0.994491,300.000000,-156.068886
-0.459024,1.223659,0.039870,-0.115011,0.993364,300.000000,-154.824098
-0.498581,1.218872,0.039822,-0.125256,0.992124,300.000000,-153.464063
-0.538038,1.213683,0.039771,-0.135561,0.990769,300.000000,-151.989309
-0.577385,1.208089,0.039715,-0.145931,0.989295,300.000000,-150.400768
-0.616614,1.202091,0.039656,-0.156371,0.987698,300.000000,-148.699839
-0.655717,1.195686,0.039594,-0.166886,0.985976,300.000000,-146.888433
-0.694687,1.188875,0.039529,-0.177484,0.984124,300.000000,-144.969019
-0.733516,1.181654,0.039462,-0.188168,0.982137,300.000000,-142.944655
-0.772197,1.174023,0.039392,-0.198947,0.980010,300.000000,-140.819013
-0.810721,1.165979,0.039320,-0.209826,0.977739,300.000000,-138.596388
-0.849083,1.157521,0.039246,-0.220811,0.975317,300.000000,-136.281694
-0.887273,1.148646,0.039171,-0.231911,0.972737,300.000000,-133.880447
-0.925285,1.139352,0.039094,-0.243132,0.969993,300.000000,-131.398735
-0.963111,1.129635,0.039015,-0.254481,0.967078,300.000000,-128.843174
-1.000742,1.119493,0.038934,-0.265965,0.963983,300.000000,-126.220851
-1.038171,1.108923,0.038852,-0.277594,0.960699,300.000000,-123.539257
-1.075388,1.097921,0.038768,-0.289374,0.957216,300.000000,-120.806216
-1.112384,1.086484,0.038681,-0.301313,0.953525,300.000000,-118.029797
-1.149149,1.074609,0.038592,-0.313421,0.949614,300.000000,-115.218234
-1.185673,1.062292,0.038500,-0.325705,0.945471,300.000000,-112.379835
-1.221944,1.049528,0.038405,-0.338174,0.941084,300.000000,-109.522897
-1.257951,1.036315,0.038306,-0.350837,0.936437,300.000000,-106.655623
-1.293681,1.022647,0.038204,-0.363702,0.931515,300.000000,-103.786043
