xm,ym,length,xnormal,ynormal,T,dT_dn
-0.381004,0.215208,0.039413,0.193011,-0.981197,500.000000,277.074198
-0.342218,0.222338,0.039463,0.168572,-0.985689,500.000000,271.591348
-0.303178,0.228552,0.039605,0.145815,-0.989312,500.000000,267.091626
-0.263807,0.233918,0.039869,0.124336,-0.992240,500.000000,263.401479
-0.224010,0.238486,0.040253,0.103803,-0.994598,500.000000,260.394877
-0.183713,0.242284,0.040700,0.083953,-0.996470,500.000000,257.984368
-0.142934,0.245319,0.041087,0.064603,-0.997911,500.000000,256.114095
-0.101840,0.247588,0.041231,0.045656,-0.998957,500.000000,254.751719
-0.060766,0.249084,0.040974,0.027097,-0.999633,500.000000,253.876058
-0.020143,0.249820,0.040288,0.008959,-0.999960,500.000000,253.477275
0.020143,0.249820,0.040288,-0.008959,-0.999960,500.000000,253.477275
0.060766,0.249084,0.040974,-0.027097,-0.999633,500.000000,253.876058
0.101840,0.247588,0.041231,-0.045656,-0.998957,500.000000,254.751719
0.142934,0.245319,0.041087,-0.064603,-0.997911,500.000000,256.114095
0.183713,0.242284,0.040700,-0.083953,-0.996470,500.000000,257.984368
0.224010,0.238486,0.040253,-0.103803,-0.994598,500.000000,260.394877
0.263807,0.233918,0.039869,-0.124336,-0.992240,500.000000,263.401479
0.303178,0.228552,0.039605,-0.145815,-0.989312,500.000000,267.091626
0.342218,0.222338,0.039463,-0.168572,-0.985689,500.000000,271.591348
0.381004,0.215208,0.039413,-0.193011,-0.981197,500.000000,277.074198
0.419560,0.207078,0.039402,-0.219625,-0.975584,500.000000,283.774219
0.457842,0.197850,0.039365,-0.249021,-0.968498,500.000000,292.004574
0.495720,0.187419,0.039222,-0.281963,-0.959425,500.000000,302.183659
0.532959,0.175679,0.038885,-0.319420,-0.947613,500.000000,314.870610
0.569213,0.162531,0.038263,-0.362643,-0.931928,500.000000,330.811307
0.604011,0.147892,0.037268,-0.413234,-0.910625,500.000000,350.991832
0.636761,0.131715,0.035829,-0.473207,-0.880951,500.000000,376.682048
0.666763,0.113996,0.033919,-0.544924,-0.838486,500.000000,409.409348
0.693239,0.094796,0.031581,-0.630615,-0.776096,500.000000,450.686967
0.715382,0.074254,0.028970,-0.730754,-0.682641,500.000000,501.041819
0.732431,0.052587,0.026388,-0.839907,-0.542730,500.000000,557.651372
0.743747,0.030095,0.024287,-0.939631,-0.342190,500.000000,606.907661
0.748951,0.009342,0.018802,-0.993757,-0.111565,500.000000,648.024264
