x,y,R,s,T
0.900000,-0.980000,0.881860,0.040000,321.518188
-1.020000,-0.940000,0.894537,0.040000,320.879104
-0.980000,-0.940000,0.876814,0.040000,322.843305
-0.940000,-0.940000,0.860420,0.040000,324.804737
-0.900000,-0.940000,0.844914,0.040000,326.755500
-0.860000,-0.940000,0.830070,0.040000,328.687437
-0.820000,-0.940000,0.816443,0.040000,330.592235
-0.780000,-0.940000,0.803253,0.040000,332.461535
-0.740000,-0.940000,0.791234,0.040000,334.287047
-0.700000,-0.940000,0.779813,0.040000,336.060659
-0.660000,-0.940000,0.769191,0.040000,337.774551
-0.620000,-0.940000,0.759659,0.040000,339.421292
-0.580000,-0.940000,0.750277,0.040000,340.993920
-0.540000,-0.940000,0.742026,0.040000,342.486010
-0.500000,-0.940000,0.734495,0.040000,343.891721
-0.460000,-0.940000,0.727263,0.040000,345.205822
-0.420000,-0.940000,0.720975,0.040000,346.423697
-0.380000,-0.940000,0.715578,0.040000,347.541333
-0.340000,-0.940000,0.710181,0.040000,348.555297
-0.300000,-0.940000,0.705618,0.040000,349.462698
-0.260000,-0.940000,0.701875,0.040000,350.261137
-0.220000,-0.940000,0.698659,0.040000,350.948662
-0.180000,-0.940000,0.695669,0.040000,351.523715
-0.140000,-0.940000,0.693463,0.040000,351.985083
-0.100000,-0.940000,0.692029,0.040000,352.331855
-0.060000,-0.940000,0.690916,0.040000,352.563380
-0.020000,-0.940000,0.690180,0.040000,352.679244
0.020000,-0.940000,0.690180,0.040000,352.679244
0.060000,-0.940000,0.690916,0.040000,352.563380
0.100000,-0.940000,0.692029,0.040000,352.331855
0.140000,-0.940000,0.693463,0.040000,351.985083
0.180000,-0.940000,0.695669,0.040000,351.523715
0.220000,-0.940000,0.698659,0.040000,350.948662
0.260000,-0.940000,0.701875,0.040000,350.261137
0.300000,-0.940000,0.705618,0.040000,349.462698
0.340000,-0.940000,0.710181,0.040000,348.555297
0.380000,-0.940000,0.715578,0.040000,347.541333
0.420000,-0.940000,0.720975,0.040000,346.423697
0.460000,-0.940000,0.727263,0.040000,345.205822
0.500000,-0.940000,0.734495,0.040000,343.891721
0.540000,-0.940000,0.742026,0.040000,342.486010
0.580000,-0.940000,0.750277,0.040000,340.993920
0.620000,-0.940000,0.759659,0.040000,339.421292
0.660000,-0.940000,0.769191,0.040000,337.774551
0.700000,-0.940000,0.779813,0.040000,336.060659
0.740000,-0.940000,0.791234,0.040000,334.287047
0.780000,-0.940000,0.803253,0.040000,332.461535
0.820000,-0.940000,0.816443,0.040000,330.592235
0.860000,-0.940000,0.830070,0.040000,328.687437
0.900000,-0.940000,0.844914,0.040000,326.755500
0.940000,-0.940000,0.860420,0.040000,324.804737
0.980000,-0.940000,0.876814,0.040000,322.843305
1.020000,-0.940000,0.894537,0.040000,320.879104
-1.140000,-0.900000,0.917472,0.040000,319.364045
-1.100000,-0.900000,0.897136,0.040000,321.445503
-1.060000,-0.900000,0.877151,0.040000,323.547716
-1.020000,-0.900000,0.858565,0.040000,325.663461
