x,y,R,s,phi,phi_an
0.640000,0.160000,0.161236,0.040000,-1.281615,0.042598
0.680000,0.160000,0.199876,0.040000,-1.162073,0.072420
0.720000,0.160000,0.238263,0.040000,-1.020600,0.110141
0.760000,0.160000,0.277107,0.040000,-0.854295,0.156838
0.800000,0.160000,0.316240,0.040000,-0.659931,0.213647
-0.800000,0.200000,0.325042,0.040000,-0.736031,0.104000
-0.760000,0.200000,0.286511,0.040000,-0.922411,0.057974
-0.720000,0.200000,0.248444,0.040000,-1.081038,0.021507
-0.680000,0.200000,0.210067,0.040000,-1.215162,-0.006538
-0.640000,0.200000,0.171145,0.040000,-1.327719,-0.027236
0.640000,0.200000,0.171505,0.040000,-1.327719,-0.027236
0.680000,0.200000,0.209247,0.040000,-1.215162,-0.006538
0.720000,0.200000,0.247698,0.040000,-1.081038,0.021507
0.760000,0.200000,0.286574,0.040000,-0.922411,0.057974
0.800000,0.200000,0.325722,0.040000,-0.736031,0.104000
-0.800000,0.240000,0.336062,0.040000,-0.827581,-0.029450
-0.760000,0.240000,0.297490,0.040000,-1.004239,-0.062298
-0.720000,0.240000,0.259351,0.040000,-1.153513,-0.086262
-0.680000,0.240000,0.221869,0.040000,-1.278682,-0.102479
-0.640000,0.240000,0.185315,0.040000,-1.382717,-0.112026
0.640000,0.240000,0.183916,0.040000,-1.382717,-0.112026
0.680000,0.240000,0.221787,0.040000,-1.278682,-0.102479
0.720000,0.240000,0.260296,0.040000,-1.153513,-0.086262
0.760000,0.240000,0.297896,0.040000,-1.004239,-0.062298
0.800000,0.240000,0.335726,0.040000,-0.827581,-0.029450
-0.760000,0.280000,0.311125,0.040000,-1.098908,-0.203638
-0.720000,0.280000,0.273430,0.040000,-1.237176,-0.212826
-0.680000,0.280000,0.235825,0.040000,-1.351801,-0.215066
-0.640000,0.280000,0.199156,0.040000,-1.445791,-0.211433
-0.600000,0.280000,0.164050,0.040000,-1.521851,-0.202941
0.600000,0.280000,0.162514,0.040000,-1.521851,-0.202941
0.640000,0.280000,0.199514,0.040000,-1.445791,-0.211433
0.680000,0.280000,0.236618,0.040000,-1.351801,-0.215066
0.720000,0.280000,0.273043,0.040000,-1.237176,-0.212826
0.760000,0.280000,0.310349,0.040000,-1.098908,-0.203638
-0.760000,0.320000,0.325017,0.040000,-1.205379,-0.365647
-0.720000,0.320000,0.288592,0.040000,-1.331011,-0.357786
-0.680000,0.320000,0.252965,0.040000,-1.433527,-0.343898
-0.640000,0.320000,0.216089,0.040000,-1.515972,-0.325059
-0.600000,0.320000,0.180548,0.040000,-1.581096,-0.302282
0.600000,0.320000,0.181081,0.040000,-1.581096,-0.302282
0.640000,0.320000,0.216505,0.040000,-1.515972,-0.325059
0.680000,0.320000,0.251931,0.040000,-1.433527,-0.343898
0.720000,0.320000,0.288556,0.040000,-1.331011,-0.357786
0.760000,0.320000,0.325975,0.040000,-1.205379,-0.365647
-0.720000,0.360000,0.305501,0.040000,-1.433829,-0.520681
-0.680000,0.360000,0.269878,0.040000,-1.522699,-0.488515
-0.640000,0.360000,0.235663,0.040000,-1.592123,-0.452442
-0.600000,0.360000,0.200342,0.040000,-1.644897,-0.413476
-0.560000,0.360000,0.166341,0.040000,-1.683534,-0.372570
0.560000,0.360000,0.166761,0.040000,-1.683534,-0.372570
0.600000,0.360000,0.200589,0.040000,-1.644897,-0.413476
0.640000,0.360000,0.234714,0.040000,-1.592123,-0.452442
0.680000,0.360000,0.270454,0.040000,-1.522699,-0.488515
0.720000,0.360000,0.305832,0.040000,-1.433829,-0.520681
-0.720000,0.400000,0.324613,0.040000,-1.544259,-0.700989
-0.680000,0.400000,0.289744,0.040000,-1.617976,-0.648394
-0.640000,0.400000,0.255116,0.040000,-1.672936,-0.593060
-0.600000,0.400000,0.222299,0.040000,-1.711976,-0.536000
-0.560000,0.400000,0.188815,0.040000,-1.737660,-0.478167
0.560000,0.400000,0.189095,0.040000,-1.737660,-0.478167
0.600000,0.400000,0.221564,0.040000,-1.711976,-0.536000
0.640000,0.400000,0.256173,0.040000,-1.672936,-0.593060
0.680000,0.400000,0.289467,0.040000,-1.617976,-0.648394
0.720000,0.400000,0.324108,0.040000,-1.544259,-0.700989
-0.680000,0.440000,0.310535,0.040000,-1.717833,-0.822953
-0.640000,0.440000,0.277862,0.040000,-1.756920,-0.746330
-0.600000,0.440000,0.244448,0.040000,-1.780877,-0.669271
-0.560000,0.440000,0.213312,0.040000,-1.792317,-0.592730
-0.520000,0.440000,0.181743,0.040000,-1.793591,-0.517596
0.520000,0.440000,0.182214,0.040000,-1.793591,-0.517596
0.560000,0.440000,0.212660,0.040000,-1.792317,-0.592730
0.600000,0.440000,0.245435,0.040000,-1.780877,-0.669271
0.640000,0.440000,0.277078,0.040000,-1.756920,-0.746330
0.680000,0.440000,0.310655,0.040000,-1.717833,-0.822953
-0.680000,0.480000,0.333033,0.040000,-1.820548,-1.011546
