xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
-2.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.185872,-1654.795880,0.001000,0.000000
-2.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.246021,-1738.598806,0.001000,0.000000
-2.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.250941,-1745.335741,0.001000,0.000000
-2.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.253416,-1748.666243,0.001000,0.000000
-2.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.254898,-1750.616862,0.001000,0.000000
-1.950000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.255876,-1751.868845,0.001000,0.000000
-1.850000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.256563,-1752.720037,0.001000,0.000000
-1.750000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.257066,-1753.321121,0.001000,0.000000
-1.650000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.257446,-1753.756631,0.001000,0.000000
-1.550000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.257741,-1754.077738,0.001000,0.000000
-1.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.257973,-1754.317256,0.001000,0.000000
-1.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258158,-1754.497200,0.001000,0.000000
-1.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258308,-1754.632879,0.001000,0.000000
-1.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258430,-1754.735248,0.001000,0.000000
-1.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258529,-1754.812334,0.001000,0.000000
-0.950000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258611,-1754.870128,0.001000,0.000000
-0.850000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258678,-1754.913170,0.001000,0.000000
-0.750000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258733,-1754.944935,0.001000,0.000000
-0.650000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258778,-1754.968104,0.001000,0.000000
-0.550000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258814,-1754.984750,0.001000,0.000000
-0.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258843,-1754.996470,0.001000,0.000000
-0.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258865,-1755.004483,0.001000,0.000000
-0.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258881,-1755.009692,0.001000,0.000000
-0.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258891,-1755.012741,0.001000,0.000000
-0.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258897,-1755.014041,0.001000,0.000000
0.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258897,-1755.013792,0.001000,0.000000
0.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258891,-1755.011994,0.001000,0.000000
0.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258881,-1755.008447,0.001000,0.000000
0.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258865,-1755.002740,0.001000,0.000000
0.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258843,-1754.994230,0.001000,0.000000
0.550000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-1.258814,-1754.982012,0.001000,0.000000
