x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
1.960000,-1.680000,0.320156,0.080000,-1750.853609,-16.999827,15.598926,22.262539,-0.000000,0.000000,0.000000
2.040000,-1.680000,0.320156,0.080000,-1750.180612,-16.294646,14.981913,33.014761,-0.000000,0.000000,0.000000
2.120000,-1.680000,0.321403,0.080000,-1749.414763,-10.877670,9.343033,47.857081,-0.000000,0.000000,0.000000
-2.120000,-1.600000,0.383275,0.080000,-1750.023396,1.793717,-3.208946,-37.557977,0.000000,-0.000000,-0.000000
-2.040000,-1.600000,0.400125,0.080000,-1750.553518,-5.821867,4.476658,-28.885552,-0.000000,0.000000,-0.000000
-1.960000,-1.600000,0.400125,0.080000,-1751.057187,-9.216283,7.879153,-21.498822,-0.000000,0.000000,-0.000000
-1.880000,-1.600000,0.401123,0.080000,-1751.511990,-10.214273,8.931823,-15.518730,-0.000000,0.000000,-0.000000
-1.800000,-1.600000,0.403113,0.080000,-1751.910883,-9.987103,8.699491,-11.134611,-0.000000,0.000000,-0.000000
-1.720000,-1.600000,0.401123,0.080000,-1752.254771,-9.224931,7.939172,-7.951554,-0.000000,0.000000,-0.000000
-1.640000,-1.600000,0.400125,0.080000,-1752.548182,-8.280290,6.999083,-5.666048,-0.000000,0.000000,-0.000000
-1.560000,-1.600000,0.400125,0.080000,-1752.796948,-7.329187,6.052079,-4.030774,-0.000000,0.000000,-0.000000
-1.480000,-1.600000,0.401123,0.080000,-1753.007029,-6.450005,5.175740,-2.860724,-0.000000,0.000000,-0.000000
-1.400000,-1.600000,0.403113,0.080000,-1753.183987,-5.669833,4.398222,-2.021917,-0.000000,0.000000,-0.000000
-1.320000,-1.600000,0.401123,0.080000,-1753.332776,-4.992275,3.723928,-1.418326,-0.000000,0.000000,-0.000000
-1.240000,-1.600000,0.400125,0.080000,-1753.457698,-4.412312,3.147057,-0.982082,-0.000000,0.000000,-0.000000
-1.160000,-1.600000,0.400125,0.080000,-1753.562441,-3.921383,2.657783,-0.666277,-0.000000,0.000000,-0.000000
-1.080000,-1.600000,0.401123,0.080000,-1753.650135,-3.508021,2.244728,-0.438552,-0.000000,0.000000,-0.000000
-1.000000,-1.600000,0.403113,0.080000,-1753.723430,-3.159374,1.896471,-0.275511,-0.000000,0.000000,-0.000000
