x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
-2.120000,-1.680000,0.320052,0.080000,-8817865564.479698,-31626742.487124,28123330.689287,-129248182.086670,-0.000576,0.000550,-0.002435
-2.040000,-1.680000,0.320026,0.080000,-8819825456.374414,-46221973.726616,42943674.321100,-85334378.876143,-0.000852,0.000828,-0.001608
-1.960000,-1.680000,0.320301,0.080000,-8821520318.387463,-46336652.867230,42836284.253291,-55449537.948534,-0.000853,0.000827,-0.001045
-1.880000,-1.680000,0.320061,0.080000,-8822943271.129784,-41534993.507429,38435054.675293,-35625876.013352,-0.000765,0.000742,-0.000671
-1.800000,-1.680000,0.320020,0.080000,-8824122196.235426,-35523210.792150,32499658.547175,-22997114.410307,-0.000652,0.000629,-0.000433
-1.720000,-1.680000,0.320281,0.080000,-8825093775.727652,-29853864.645423,26888437.671967,-14858339.996506,-0.000546,0.000523,-0.000280
-1.640000,-1.680000,0.320070,0.080000,-8825893358.382368,-24973574.914262,22050323.018266,-9575211.824945,-0.000454,0.000432,-0.000180
-1.560000,-1.680000,0.320015,0.080000,-8826551684.189005,-20931467.692383,18038158.419413,-6113652.771099,-0.000378,0.000356,-0.000115
-1.480000,-1.680000,0.320261,0.080000,-8827094357.973761,-17638599.311056,14766372.722332,-3825305.765906,-0.000316,0.000294,-0.000072
-1.400000,-1.680000,0.320081,0.080000,-8827542310.677404,-14972210.051984,12114812.505220,-2302032.420602,-0.000266,0.000244,-0.000043
-1.320000,-1.680000,0.320011,0.080000,-8827912529.181829,-12814548.277478,9967616.278372,-1284314.051285,-0.000225,0.000204,-0.000024
-1.240000,-1.680000,0.320242,0.080000,-8828218780.413881,-11064953.675482,8225450.261951,-605024.114553,-0.000192,0.000171,-0.000011
-1.160000,-1.680000,0.320092,0.080000,-8828472239.644968,-9641520.600221,6807323.332281,-155061.521513,-0.000166,0.000144,-0.000003
-1.080000,-1.680000,0.320007,0.080000,-8828682005.935118,-8479106.791083,5648727.396828,137765.490344,-0.000144,0.000122,0.000003
-1.000000,-1.680000,0.320224,0.080000,-8828855514.117155,-7526432.830614,4698821.615752,321846.654717,-0.000126,0.000105,0.000006
-0.920000,-1.680000,0.320104,0.080000,-8828998860.175066,-6743283.512953,3917690.879527,430013.380161,-0.000111,0.000090,0.000008
-0.840000,-1.680000,0.320004,0.080000,-8829117057.024403,-6098120.766076,3274009.765199,484790.903644,-0.000099,0.000078,0.000009
-0.760000,-1.680000,0.320206,0.080000,-8829214235.413750,-5566176.773953,2743160.914958,501789.026524,-0.000089,0.000068,0.000009
-0.680000,-1.680000,0.320116,0.080000,-8829293801.884714,-5127968.090636,2305763.079403,491925.795060,-0.000081,0.000059,0.000009
-0.600000,-1.680000,0.320002,0.080000,-8829358563.167738,-4768141.591608,1946538.878107,462902.113306,-0.000074,0.000053,0.000009
-0.520000,-1.680000,0.320190,0.080000,-8829410824.258060,-4474601.499101,1653448.228563,420190.167753,-0.000068,0.000047,0.000008
-0.440000,-1.680000,0.320129,0.080000,-8829452465.717878,-4237849.809968,1417028.802838,367709.515135,-0.000064,0.000043,0.000007
-0.360000,-1.680000,0.320001,0.080000,-8829485004.426565,-4050476.204391,1229898.564089,308292.897705,-0.000060,0.000039,0.000006
-0.280000,-1.680000,0.320173,0.080000,-8829509640.978119,-3906781.580075,1086380.506957,244009.434159,-0.000058,0.000036,0.000005
-0.200000,-1.680000,0.320143,0.080000,-8829527296.132351,-3802503.091967,982222.954379,176398.171110,-0.000056,0.000034,0.000003
-0.120000,-1.680000,0.320000,0.080000,-8829538638.109810,-3734603.249335,914398.148780,106638.455083,-0.000054,0.000033,0.000002
-0.040000,-1.680000,0.320158,0.080000,-8829544102.030853,-3701129.039472,880961.375925,35675.816244,-0.000054,0.000033,0.000001
0.040000,-1.680000,0.320158,0.080000,-8829543902.403326,-3701128.857281,880961.193350,-35674.247281,-0.000054,0.000033,-0.000001
0.120000,-1.680000,0.320000,0.080000,-8829538039.228388,-3734602.699479,914397.596531,-106636.890188,-0.000054,0.000033,-0.000002
0.200000,-1.680000,0.320143,0.080000,-8829526298.000603,-3802502.159105,982222.023680,-176396.615095,-0.000056,0.000034,-0.000003
0.280000,-1.680000,0.320173,0.080000,-8829508243.601982,-3906780.246328,1086379.173431,-244007.892984,-0.000058,0.000036,-0.000005
0.360000,-1.680000,0.320001,0.080000,-8829483207.814596,-4050474.438834,1229896.798062,-308291.378700,-0.000060,0.000039,-0.000006
0.440000,-1.680000,0.320129,0.080000,-8829450269.881405,-4237847.571043,1417026.564578,-367708.027846,-0.000064,0.000043,-0.000007
0.520000,-1.680000,0.320190,0.080000,-8829408229.211441,-4474598.733239,1653445.466253,-420188.724948,-0.000068,0.000047,-0.000008
0.600000,-1.680000,0.320002,0.080000,-8829355568.928679,-4768138.233103,1946535.524263,-462900.732590,-0.000074,0.000053,-0.000009
0.680000,-1.680000,0.320116,0.080000,-8829290408.474718,-5127964.056913,2305759.050222,-491924.501190,-0.000081,0.000059,-0.000009
0.760000,-1.680000,0.320206,0.080000,-8829210442.858669,-5566171.960629,2743156.108462,-501787.852476,-0.000089,0.000068,-0.000009
0.840000,-1.680000,0.320004,0.080000,-8829112865.355055,-6098115.046201,3274004.052558,-484789.894160,-0.000099,0.000078,-0.000009
0.920000,-1.680000,0.320104,0.080000,-8828994269.428091,-6743276.728274,3917684.103454,-430012.597876,-0.000111,0.000090,-0.000008
1.000000,-1.680000,0.320224,0.080000,-8828850524.336020,-7526424.784703,4698813.582334,-321846.186664,-0.000126,0.000105,-0.000006
1.080000,-1.680000,0.320007,0.080000,-8828676617.171354,-8479097.240364,5648717.864542,-137765.457862,-0.000144,0.000122,-0.000003
1.160000,-1.680000,0.320092,0.080000,-8828466451.959717,-9641509.242741,6807311.999234,155060.947086,-0.000166,0.000144,0.000003
1.240000,-1.680000,0.320242,0.080000,-8828212593.879841,-11064940.133472,8225436.751949,605022.688409,-0.000192,0.000171,0.000011
1.320000,-1.680000,0.320011,0.080000,-8827905943.885670,-12814532.077319,9967600.122151,1284311.420420,-0.000225,0.000204,0.000024
1.400000,-1.680000,0.320081,0.080000,-8827535326.722757,-14972190.601774,12114793.114922,2302028.070454,-0.000266,0.000244,0.000043
1.480000,-1.680000,0.320261,0.080000,-8827086975.484997,-17638575.872707,14766349.366322,3825298.935139,-0.000316,0.000294,0.000072
1.560000,-1.680000,0.320015,0.080000,-8826543903.315891,-20931439.358806,18038130.199065,6113642.316742,-0.000378,0.000356,0.000115
1.640000,-1.680000,0.320070,0.080000,-8825885179.305794,-24973540.601799,22050288.864352,9575196.007104,-0.000454,0.000432,0.000180
1.720000,-1.680000,0.320281,0.080000,-8825085198.666365,-29853823.144773,26888396.392734,14858316.130344,-0.000546,0.000523,0.000280
1.800000,-1.680000,0.320020,0.080000,-8824113221.453444,-35523160.967987,32499609.029177,22997078.308828,-0.000652,0.000629,0.000433
1.880000,-1.680000,0.320061,0.080000,-8822933898.943033,-41534934.870538,38434996.456524,35625821.120885,-0.000765,0.000742,0.000671
1.960000,-1.680000,0.320301,0.080000,-8821510549.165689,-46336587.163977,42836219.557284,55449453.789174,-0.000853,0.000827,0.001045
2.040000,-1.680000,0.320026,0.080000,-8819815290.528404,-46221908.031668,42943609.302045,85334250.833087,-0.000852,0.000828,0.001608
2.120000,-1.680000,0.320052,0.080000,-8817855002.411392,-31626697.628705,28123286.830876,129247989.739131,-0.000576,0.000550,0.002435
-2.120000,-1.600000,0.380012,0.080000,-8819384100.438837,5739595.441730,-8998679.340960,-99611763.787218,0.000127,-0.000151,-0.001877
-2.040000,-1.600000,0.400021,0.080000,-8820722070.797241,-15805965.696363,12746564.747913,-74928201.895032,-0.000281,0.000257,-0.001412
-1.960000,-1.600000,0.400241,0.080000,-8821985172.580545,-24595544.768970,21575588.830007,-54365055.379650,-0.000446,0.000424,-0.001024
-1.880000,-1.600000,0.400048,0.080000,-8823114718.586893,-26612654.336335,23725569.949633,-38238226.869523,-0.000485,0.000463,-0.000720
-1.800000,-1.600000,0.400016,0.080000,-8824095680.498890,-25463893.109012,22564372.432003,-26800194.833453,-0.000463,0.000442,-0.000505
-1.720000,-1.600000,0.400225,0.080000,-8824933838.495720,-23092450.004707,20197830.211114,-18735683.399646,-0.000419,0.000397,-0.000353
-1.640000,-1.600000,0.400056,0.080000,-8825643458.765703,-20411524.511022,17527932.782998,-13093374.275393,-0.000368,0.000347,-0.000247
-1.560000,-1.600000,0.400012,0.080000,-8826241176.623808,-17833225.046738,14961534.483627,-9146476.912211,-0.000320,0.000298,-0.000172
-1.480000,-1.600000,0.400209,0.080000,-8826743193.050388,-15519743.477450,12658735.409375,-6376050.784788,-0.000276,0.000255,-0.000120
