xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
-2.485030,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2650735.964842,-8301479035.120502,1000.000000,0.000000
-2.455090,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2784989.457619,-8721839814.651648,1000.000000,0.000000
-2.425150,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2796563.798900,-8757996466.423679,1000.000000,0.000000
-2.395210,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2802566.800901,-8776705924.191597,1000.000000,0.000000
-2.365269,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2806285.682490,-8788263124.274439,1000.000000,0.000000
-2.335329,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2808831.487297,-8796147625.334023,1000.000000,0.000000
-2.305389,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2810692.038997,-8801887188.077641,1000.000000,0.000000
-2.275449,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2812115.376837,-8806258618.439905,1000.000000,0.000000
-2.245509,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2813241.457945,-8809700231.982149,1000.000000,0.000000
-2.215569,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2814155.551580,-8812479073.500816,1000.000000,0.000000
-2.185629,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2814912.746426,-8814767668.697842,1000.000000,0.000000
-2.155689,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2815550.316494,-8816682751.560253,1000.000000,0.000000
-2.125749,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2816094.441594,-8818306311.439938,1000.000000,0.000000
-2.095808,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2816564.084259,-8819697734.754166,1000.000000,0.000000
-2.065868,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2816973.338548,-8820901160.919352,1000.000000,0.000000
-2.035928,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2817332.912474,-8821950125.007658,1000.000000,0.000000
-2.005988,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2817651.096670,-8822870591.386181,1000.000000,0.000000
-1.976048,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2817934.416479,-8823682995.932171,1000.000000,0.000000
